Title,Abstract,Year_Published,Publication Year,Source,Journal/Book,DOI,Download_URL,Keywords,MeSH_Terms,Authors,PMID,Citation,Create Date,PMCID,NIHMS ID,First Author,Reference
A study on physicians' perceptions of privacy in the context of the e-Nabiz (e-Pulse) in the Turkish healthcare system.,"This study examines physicians' perceptions of privacy and data protection in Turkey's national personal health record system, e-Nabız. While e-Nabız enhances continuity of care through centralized access to prescriptions, laboratory results, imaging, and clinical records, its centralized governance model raises concerns regarding unauthorized access, accountability, and alignment with professional privacy norms. To empirically investigate these concerns, we conducted a survey with 309 healthcare professionals. The results reveal a pronounced usage-trust paradox: although system usage is high (87%), only 56% of respondents consider existing data-protection mechanisms adequate, and a substantial proportion express concerns about potential misuse or leakage of health data. Importantly, physicians' concerns are not primarily directed at the absence of role-based access control (RBAC), but at the lack of verifiable enforcement, transparent oversight, and tamper-evident auditability of access decisions. This indicates a perceived misalignment between expected information flows grounded in the physician-patient confidentiality context and the opaque governance of access practices within the system. Based on these findings, the study derives a governance-oriented design implication: a supplementary layer in which RBAC decisions and access events are recorded through blockchain-supported immutable logs and smart contracts to enhance accountability and auditability. The proposed approach does not store medical data on the blockchain; rather, it aims to make authorization and access histories verifiable and resistant to manipulation. The study contributes a physician-centered empirical assessment of privacy governance in a nationwide digital health system and highlights the importance of transparent, enforceable access governance for sustaining professional trust.",2026,2026,Scientific reports,Scientific reports,10.1038/s41598-026-53539-8,https://pubmed.ncbi.nlm.nih.gov/42168305/,"['Auditability', 'Blockchain', 'Health data privacy', 'Role-based access control', 'Smart contracts', 'e-Nabız']",[],"['Cihan Unal', 'Hakan Yildirim']",42168305,Scientific reports. 2026 May 21. doi: 10.1038/s41598-026-53539-8.,22-05-2026,,,Cihan Unal,Scientific reports. 2026 May 21. doi: 10.1038/s41598-026-53539-8.
Lessons from Smart Cart 2.0: Considerations for integrating purchasing data into healthy eating interventions with AI approaches.,"The increasing prevalence of chronic diseases related to suboptimal diet quality in the US and worldwide contributes to burgeoning healthcare costs and excess death and disability. Changing dietary intake is essential but difficult because dietary behaviors stem from interconnected biological, psychological, environmental, and social factors that are rarely comprehensively addressed in interventions. Emerging digital technologies present a paradox in food environments: some facilitate healthier eating while other practices, like targeted marketing and price manipulation, exploit behavioral vulnerabilities and promote poor dietary habits. Smart Cart 2.0 - a personalized digital healthy eating intervention using artificial intelligence (AI) and machine learning (ML) to detect patterns and influence dietary choices - offers critical lessons for health technology design. This perspective contends that improving digital dietary behavior interventions hinges on responsible implementation: fully leveraging technology's promise while establishing safeguards against premature adoption. With appropriate guardrails, digital technologies provide tremendous opportunity to improve the delivery, personalization, and scalability of healthy eating interventions.",2026,2026,The Journal of nutrition,The Journal of nutrition,10.1016/j.tjnut.2026.101604,https://pubmed.ncbi.nlm.nih.gov/42167530/,"['artificial intelligence', 'digitalized food environments', 'food purchasing', 'machine learning', 'personalized dietary interventions']",[],"['Maya K Vadiveloo', 'Alison Tovar', 'Anne N Thorndike']",42167530,The Journal of nutrition. 2026 May 20. 101604. doi: 10.1016/j.tjnut.2026.101604.,22-05-2026,,,Maya K Vadiveloo,The Journal of nutrition. 2026 May 20. 101604. doi: 10.1016/j.tjnut.2026.101604.
"Updated trends in the global prevalence and burden of mental disorders, 1990-2023: a systematic analysis for the Global Burden of Disease Study 2023.","The 2023 iteration of the Global Burden of Diseases, Injuries, and Risk Factors Study (GBD) estimated prevalence, incidence, and health burden for 375 diseases and injuries, including 12 mental disorders. We assess past, current, and emerging trends in the prevalence and burden of mental disorders across sexes and age groups, for 21 regions, 204 countries and territories, and by Socio-demographic Index (SDI) quintile, from 1990 to 2023.",2026,2026,"Lancet (London, England)","Lancet (London, England)",10.1016/S0140-6736(26)00519-2,https://pubmed.ncbi.nlm.nih.gov/42167272/,[],"['Humans', 'Mental Disorders', 'Global Burden of Disease', 'Prevalence', 'Male', 'Female', 'Global Health', 'Adult', 'Adolescent', 'Young Adult', 'Middle Aged', 'Child', 'Disability-Adjusted Life Years', 'Aged', 'Quality-Adjusted Life Years', 'Incidence', 'Child, Preschool']",['GBD 2023 Mental Disorder Collaborators'],42167272,"Lancet (London, England). 2026 May 23. 407(10543):2040-2064. doi: 10.1016/S0140-6736(26)00519-2.",22-05-2026,,,GBD 2023 Mental Disorder Collaborators,"Lancet (London, England). 2026 May 23. 407(10543):2040-2064. doi: 10.1016/S0140-6736(26)00519-2."
Two-Year Outcomes Following Treatment of Painful Lumbar Degenerative Disc Disease with a Percutaneous Polymer-Based Hydrogel Intradiscal Augmentation Implant.,"Prospective, single arm, multicenter, feasibility study.",2026,2026,Spine,Spine,10.1097/BRS.0000000000005735,https://pubmed.ncbi.nlm.nih.gov/42166623/,"['Chronic low back pain', 'annulus fibrosus', 'degenerative disc disease', 'disc augmentation', 'hydrogel', 'implant', 'intervertebral disc', 'lumbar', 'lumbar disc level L1-S1', 'minimally invasive procedure.', 'nucleus pulposus', 'percutaneous treatment']",[],"['Olivier Clerk-Lamalice', 'Alfonso Spath', 'Kimberly Carcary', 'Kasra Amirdelfan', 'Pierce D Nunley', 'Douglas P Beall']",42166623,Spine. 2026 May 06. doi: 10.1097/BRS.0000000000005735.,21-05-2026,,,Olivier Clerk-Lamalice,Spine. 2026 May 06. doi: 10.1097/BRS.0000000000005735.
Q-Learning with clustered-SMART (cSMART) data: examining moderators in the construction of clustered adaptive interventions.,"A clustered adaptive intervention (cAI) is a prespecified sequence of decision rules that guides practitioners on how best-and based on which measures-to tailor cluster-level intervention to improve outcomes at the level of individuals within the clusters. A clustered sequential multiple assignment randomized trial (cSMART) is a type of trial that is used to inform the empirical development of a cAI. A common analytic goal in a cSMART focuses on assessing causal effect moderation by candidate tailoring variables. We introduce a clustered Q-learning framework with the M-out-of-N cluster bootstrap using data from a cSMART to evaluate whether a set of candidate tailoring variables may be useful in defining an optimal cAI. This approach could construct confidence intervals (CIs) with near-nominal coverage to assess parameters indexing the causal effect moderation function. Specifically, it allows reliable inferences concerning the utility of candidate tailoring variables in constructing a cAI that maximizes a mean end-of-study outcome even when ""non-regularity,"" a well-known challenge, exists. Simulations demonstrate the numerical performance of the proposed method across varying non-regularity conditions and investigate the impact of varying numbers of clusters and intra-cluster correlation coefficients on CI coverage. Methods are applied on the ADEPT dataset to inform the construction of a clinic-level cAI for improving evidence-based practice in treating mood disorders.",2026,2026,Biometrics,Biometrics,10.1093/biomtc/ujag078,https://pubmed.ncbi.nlm.nih.gov/42166189/,"['causal inference', 'evidence-based practices', 'implementation science', 'mood disorders', 'statistical learning']","['Humans', 'Cluster Analysis', 'Randomized Controlled Trials as Topic', 'Computer Simulation', 'Biometry', 'Models, Statistical']","['Yao Song', 'Kelly Speth', 'Amy Kilbourne', 'Andrew Quanbeck', 'Daniel Almirall', 'Lu Wang']",42166189,Biometrics. 2026 Apr 09. 82(2). doi: 10.1093/biomtc/ujag078.,21-05-2026,,,Yao Song,Biometrics. 2026 Apr 09. 82(2). doi: 10.1093/biomtc/ujag078.
Australian key stakeholder views regarding implementation of atrial fibrillation screening: a qualitative evaluation.,To understand the issues impacting atrial fibrillation (AF) screening and what needs to be considered for a successful national screening programme in Australia.,2026,2026,BMJ open,BMJ open,10.1136/bmjopen-2025-109404,https://pubmed.ncbi.nlm.nih.gov/42161540/,"['Implementation Science', 'Mass Screening', 'Pacing & electrophysiology', 'Primary Care', 'QUALITATIVE RESEARCH']","['Humans', 'Atrial Fibrillation', 'Australia', 'Qualitative Research', 'Mass Screening', 'Stakeholder Participation', 'Interviews as Topic', 'Male', 'Female']","['Kirsty Mckenzie', 'Ben Freedman', 'Anushka Jacob', 'Rakesh Narendra Modi', 'Nicole Lowres']",42161540,BMJ open. 2026 May 20. 16(5):e109404. doi: 10.1136/bmjopen-2025-109404.,21-05-2026,,,Kirsty Mckenzie,BMJ open. 2026 May 20. 16(5):e109404. doi: 10.1136/bmjopen-2025-109404.
"Correction to ""Hybrid CNN-GCN framework for brain tumor MRI classification: A graph-based approach to smart healthcare diagnostics"".",,2026,2026,Journal of applied clinical medical physics,Journal of applied clinical medical physics,10.1002/acm2.70596,https://pubmed.ncbi.nlm.nih.gov/42159089/,[],[],[],42159089,Journal of applied clinical medical physics. 2026 May. 27(5):e70596. doi: 10.1002/acm2.70596.,20-05-2026,,,,Journal of applied clinical medical physics. 2026 May. 27(5):e70596. doi: 10.1002/acm2.70596.
"Digital health needs for long-term continuity care in older adult patients: a cross-sectional study under the ""internet +"" model.","The ""Internet+"" initiative offers new possibilities for addressing the complex health needs of aging populations. This cross-sectional study aims to investigate the demands for long-term continuous care among older adult patients with neurological disorders and to identify the key factors influencing these needs within the context of a digital health framework.",2026,2026,Frontiers in public health,Frontiers in public health,10.3389/fpubh.2026.1763772,https://pubmed.ncbi.nlm.nih.gov/42158185/,"['Internet +', 'continuous nursing', 'cross-sectional study', 'digital health', 'needs assessment', 'older adult patients']","['Humans', 'Cross-Sectional Studies', 'Male', 'Female', 'Aged', 'Long-Term Care', 'Continuity of Patient Care', 'Aged, 80 and over', 'Surveys and Questionnaires', 'Middle Aged', 'Nervous System Diseases', 'Health Services Needs and Demand', 'Telemedicine', 'Digital Health']","['ChunLing Sun', 'MinJie Ji', 'Fang Zhao', 'Xin Hu', 'BingQing Wang']",42158185,Frontiers in public health. 2026. 14:1763772. doi: 10.3389/fpubh.2026.1763772.,20-05-2026,PMC13180841,,ChunLing Sun,Frontiers in public health. 2026. 14:1763772. doi: 10.3389/fpubh.2026.1763772.
Development of a high-performance in-memory database architecture for intelligent video surveillance in critical patient care.,"This research aims to engineer a specialized, high-speed database architecture tailored for intelligent video surveillance in critical healthcare environments. The primary objective is to overcome the input/output operations per second (IOPS) bottlenecks and latency issues inherent in traditional SQL and general-purpose NoSQL systems, which impede real-time clinical decision-making.",2026,2026,Frontiers in digital health,Frontiers in digital health,10.3389/fdgth.2026.1807507,https://pubmed.ncbi.nlm.nih.gov/42158173/,"['big data visualization', 'healthcare informatics', 'in-memory database', 'intelligent video surveillance', 'real-time analytics']",[],"['Ramesh Kumar Veerapaneni', 'Radhakrishnan Delhibabu', 'Alexey Subbotin', 'Nataly Zhukova']",42158173,Frontiers in digital health. 2026. 8:1807507. doi: 10.3389/fdgth.2026.1807507.,20-05-2026,PMC13180876,,Ramesh Kumar Veerapaneni,Frontiers in digital health. 2026. 8:1807507. doi: 10.3389/fdgth.2026.1807507.
Smart city development and medical service performance: evidence from a province-level panel study in China.,"This study examines whether smart city development is associated with improvements in medical service performance across Chinese provinces, addressing the limited large-scale quantitative evidence on digital governance and healthcare systems in developing-country contexts.",2026,2026,International journal of public health,International journal of public health,10.3389/ijph.2026.1609627,https://pubmed.ncbi.nlm.nih.gov/42158041/,"['China', 'digital governance', 'healthcare systems', 'medical service performance', 'smart city development']","['China', 'Humans', 'Quality of Health Care', 'Delivery of Health Care', 'Cities']","['Xu Shao', 'Xi Liu', 'Jie Che', 'Bing Yang']",42158041,International journal of public health. 2026. 71:1609627. doi: 10.3389/ijph.2026.1609627.,20-05-2026,PMC13180713,,Xu Shao,International journal of public health. 2026. 71:1609627. doi: 10.3389/ijph.2026.1609627.
