Title,Abstract,Year_Published,Publication Year,Source,Journal/Book,DOI,Download_URL,Keywords,MeSH_Terms,Authors,PMID,Citation,Create Date,PMCID,NIHMS ID,First Author,Reference
Improving Identification and Management of Modifiable Risk Factors in Hip and Knee Osteoarthritis: A Quality Improvement Project in an NHS Orthopaedic Interface Service.,"Hip and knee osteoarthritis are highly prevalent conditions associated with pain, disability and increasing demand on orthopaedic services. Best practice guidance emphasises early identification and optimisation of modifiable risk factors to improve outcomes following joint replacement, yet these are often inconsistently addressed in routine musculoskeletal care. This quality improvement project aimed to improve the consistency with which clinicians identified and acted on key modifiable risk factors during orthopaedic interface consultations.",2026,2026,Musculoskeletal care,Musculoskeletal care,10.1002/msc.70234,https://pubmed.ncbi.nlm.nih.gov/42151745/,[],[],"['Rose Henning', 'Michael Henning', 'Justine McMillan', 'Gethin Lynch']",42151745,Musculoskeletal care. 2026 Jun. 24(2):e70234. doi: 10.1002/msc.70234.,19-05-2026,,,Rose Henning,Musculoskeletal care. 2026 Jun. 24(2):e70234. doi: 10.1002/msc.70234.
Predictors of Mental Health-Related Sick Leave at Referral to Clinical Psychology: A Population-Based Study Using Electronic Health Records.,To examine factors associated with sick leave status at referral to clinical psychology and its duration using electronic health records (EHRs).,2026,2026,Journal of occupational rehabilitation,Journal of occupational rehabilitation,10.1007/s10926-026-10414-7,https://pubmed.ncbi.nlm.nih.gov/42151719/,"['Common mental disorders', 'Electronic health records', 'Primary care', 'Sick leave', 'Work disability']",[],"['César González-Blanch', 'Sandra Martínez-Gómez', 'Saioa Pérez-García-Abad', 'Jose Ruiz-Gutiérrez', 'María Del Mar Miras-Aguilar', 'Carmen Ramos-Barrón', 'Emilio Pariente-Rodrigo', 'Lourdes Piñán-Setién', 'Noelia Otero-Cabanillas', 'María Isabel Priede']",42151719,Journal of occupational rehabilitation. 2026 May 18. doi: 10.1007/s10926-026-10414-7.,19-05-2026,3089873,,César González-Blanch,Journal of occupational rehabilitation. 2026 May 18. doi: 10.1007/s10926-026-10414-7.
Correction: Triglyceride-Glucose Index and Mortality Risk in the General Population: A Systematic Review and Meta-analysis of Prospective Studies.,,2026,2026,High blood pressure & cardiovascular prevention : the official journal of the Italian Society of Hypertension,High blood pressure & cardiovascular prevention : the official journal of the Italian Society of Hypertension,10.1007/s40292-026-00802-8,https://pubmed.ncbi.nlm.nih.gov/42151717/,[],[],"[""Lanfranco D'Elia"", 'Saverio Stranges', 'Ersilia La Fata', 'Francesca Fortunato', 'Raffaele Palladino', 'Domenico Rendina', 'Ferruccio Galletti']",42151717,High blood pressure & cardiovascular prevention : the official journal of the Italian Society of Hypertension. 2026 May 19. doi: 10.1007/s40292-026-00802-8.,19-05-2026,,,Lanfranco D'Elia,High blood pressure & cardiovascular prevention : the official journal of the Italian Society of Hypertension. 2026 May 19. doi: 10.1007/s40292-026-00802-8.
Geospatial Accessibility Factors Influencing HIV Care Continuum Outcomes in South Carolina.,"Ending the HIV epidemic in the U.S. requires access to comprehensive care. Traditional measures of service access have focused on distance and time. This study used the enhanced two-step floating catchment area (E2SFCA) method to measure geospatial accessibility and its association with HIV care continuum outcomes. Data from South Carolina's 2020 enhanced HIV/AIDS reporting system (eHARS) were used to calculate aggregated county-level percentage linkage to care (LTC), retention in care (RIC), and viral suppression (VS) among adult people living with HIV (PLWH). E2SFCA was used to measure geospatial accessibility, using the 60-min index as the threshold. County-level mean percentage of dependent variables and covariates were calculated. A linear regression model (LRM) was used to evaluate the association between accessibility index and LTC, RIC, and VS after adjusting for covariates. Accessibility index ranged from 17.9 to 198 across the 46 counties (mean = 67.5, SD = 36.5). Counties with better accessibility were more likely to have a higher percentage of LTC (β = 5.07, 95% CI = 0.83, 9.31) but a lower percentage of VS (β = -2.85, 95% CI= -4.60, -1.10). The negative association between accessibility index and VS was moderated by the percentage of household without vehicle ownership (β = 2.00, 95% CI = 0.02, 4.00). No association was found between the accessibility index and RIC. Counties with lower uninsured rates (β= -3.11, 95% CI= -5.35, -0.87) had higher % LTC. Suboptimal geographic accessibility to HIV care is an important structural barrier in South Carolina. Targeted policies and interventions are needed to address this challenge.",2026,2026,AIDS and behavior,AIDS and behavior,10.1007/s10461-026-05161-y,https://pubmed.ncbi.nlm.nih.gov/42151701/,"['Accessibility factor', 'County-level', 'E2SFCA', 'Geospatial analysis', 'HIV care continuum', 'Health disparities', 'People living with HIV/AIDS']",[],"['Edith Nnenna Utaka', 'Xueying Yang', 'Huiyi Xia', 'Sicheng Wang', 'Fanghui Shi', 'Qingyang Li', 'Bankole Olatosi', 'Xiaoming Li']",42151701,AIDS and behavior. 2026 May 19. doi: 10.1007/s10461-026-05161-y.,19-05-2026,10986835,,Edith Nnenna Utaka,AIDS and behavior. 2026 May 19. doi: 10.1007/s10461-026-05161-y.
Managing menopause after cancer: a qualitative analysis of healthcare professionals' perspectives.,"Menopausal symptoms after cancer (MSAC) are common and can affect overall quality of life. Cancer survivors experience a variety of symptoms for which they may seek support from healthcare professionals (HCPs). Yet, managing MSAC may be challenging for some HCPs. Therefore, understanding HCPs' perspectives and challenges in providing MSAC care could help propose solutions to improve care provision.",2026,2026,Journal of cancer survivorship : research and practice,Journal of cancer survivorship : research and practice,10.1007/s11764-026-02042-0,https://pubmed.ncbi.nlm.nih.gov/42151700/,"['Cancer survivors', 'Healthcare professionals', 'Menopause', 'Menopause management', 'Menopause perspective']",[],"['Dorcas Serwaa', 'Shanton Chang', 'Lewis Gauci', 'Michael Jefford', 'Carolyn Ee', 'Martha Hickey', 'Kate Rolshoven', 'Jennifer L Marino', 'Paul A Cohen', 'Christobel Saunders', 'Nipuni Susanto', 'Michelle Peate']",42151700,Journal of cancer survivorship : research and practice. 2026 May 18. doi: 10.1007/s11764-026-02042-0.,19-05-2026,12024849,,Dorcas Serwaa,Journal of cancer survivorship : research and practice. 2026 May 18. doi: 10.1007/s11764-026-02042-0.
Burden of fall-related fracture among postmenopausal women: findings from the global burden of disease study 2021.,"Falls are a significant public health concern, especially among postmenopausal women. This study aims to evaluate the global, regional, and national burden of fall-related fractures among postmenopausal women using data from the Global Burden of Disease (GBD) Study 2021.",2026,2026,Aging clinical and experimental research,Aging clinical and experimental research,10.1007/s40520-026-03380-w,https://pubmed.ncbi.nlm.nih.gov/42151690/,"['Falls', 'Fractures', 'Global Burden of Disease', 'Postmenopausal women']",[],"['Kaipeng Chen', 'Beibei Wang', 'Haipeng Xue', 'Lei Zhao', 'Xiaobin Li', 'Xingxing Wang']",42151690,Aging clinical and experimental research. 2026 May 18. doi: 10.1007/s40520-026-03380-w.,19-05-2026,,,Kaipeng Chen,Aging clinical and experimental research. 2026 May 18. doi: 10.1007/s40520-026-03380-w.
Building bridges in migraine management: consensus pathways on best practices across primary and specialist care in Italy.,"Migraine is a disabling neurological disorder often mismanaged, with only a minority of individuals receiving a timely correct diagnosis and appropriate treatment. The aim of this work was to establish consensus-based indications for improving the management of individuals with migraine and optimizing their journey from general practice to specialist care.",2026,2026,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,10.1007/s10072-026-09088-z,https://pubmed.ncbi.nlm.nih.gov/42151647/,"['Diagnosis', 'General practitioner', 'Management', 'Migraine', 'Neurologist', 'Primary care']",[],"['Piero Barbanti', 'Cristina Tassorelli', 'Fabrizio Vernieri', 'Francesco De Cesaris', 'Roberto De Icco', 'Cherubino Di Lorenzo', 'Cinzia Finocchi', 'Licia Grazzi', 'Simona Guerzoni', 'Edoardo Mampreso', 'Tecla Mastronuzzi', 'Roberta Messina', 'Raffaele Ornello', 'Renata Rao', 'Daiana Taddeo', 'Marina De Tommaso', 'Innocenzo Rainero']",42151647,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology. 2026 May 19. 47(6). doi: 10.1007/s10072-026-09088-z.,19-05-2026,2386850,,Piero Barbanti,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology. 2026 May 19. 47(6). doi: 10.1007/s10072-026-09088-z.
"Care pathways for asymptomatic brain metastases: comparison of healthcare utilization, costs, and outcomes in outpatient versus acute settings.","Incidentally found brain metastases often lead to emergency room referrals even in asymptomatic patients-a pathway of care that could be unnecessary. We sought to compare time and financial toxicity, and treatment outcomes between a multidisciplinary outpatient (MP) and acute care pathways (AP).",2026,2026,Journal of neuro-oncology,Journal of neuro-oncology,10.1007/s11060-026-05626-z,https://pubmed.ncbi.nlm.nih.gov/42151637/,"['Brain metastases', 'Care pathways', 'Financial toxicity', 'Time toxicity']","['Humans', 'Brain Neoplasms', 'Female', 'Male', 'Middle Aged', 'Retrospective Studies', 'Aged', 'Health Care Costs', 'Patient Acceptance of Health Care', 'Ambulatory Care', 'Critical Pathways', 'Prognosis', 'Outpatients', 'Adult', 'Treatment Outcome']","['Matthew Wierzbicki', 'Stephen G Bowden', 'Stephanie M Robert', 'Seamus Y Wang', 'Allison J Toth', 'Brandon S Imber', 'Luke R G Pike', 'Viviane Tabar', 'Jeffrey Groeger', 'Nelson S Moss']",42151637,Journal of neuro-oncology. 2026 May 18. 178(1). doi: 10.1007/s11060-026-05626-z.,19-05-2026,7997776,,Matthew Wierzbicki,Journal of neuro-oncology. 2026 May 18. 178(1). doi: 10.1007/s11060-026-05626-z.
"Which religious and personal characteristics predict attitudes toward gene editing? Findings from a survey of 4,939 adults in the U.S.","We explored whether major religious groups' attitudes toward gene editing differ, as well as what specific religious and personal characteristics predict attitudes toward gene editing. We administered a survey to a sample of U.S. adults (N = 4939), including stratified samples of nine major religious and non-religious groups. We assessed participants' religious affiliation, beliefs, and practices, and their attitudes (i.e., support and concerns) toward gene editing. Participants generally supported gene editing but also reported moderate levels of concerns. Atheist participants reported the highest support, while Mainline Protestants reported the lowest. Muslim participants reported the highest concerns, while atheist participants reported the lowest. Views on evolution and the healthcare values of their spiritual community predicted support, while views on evolution, beliefs that one's body is a manifestation of God, and religious discrimination predicted concerns. The strongest predictors of attitudes were distrust and genetic knowledge, with higher genetic knowledge predicting lower support. While religious affiliation predicts attitudes toward gene editing, generalizations must be avoided given the range of attitudes within each group. Additionally, education alone is unlikely to increase support for gene editing. Fostering trust among religious groups is essential to ensuring that their decisions reflect their values and priorities, rather than being driven by distrust of the healthcare system. Better understanding religion's impact on attitudes toward gene editing may facilitate appropriate genetic counseling and inform policymaking efforts.",2026,2026,Journal of community genetics,Journal of community genetics,10.1007/s12687-026-00898-4,https://pubmed.ncbi.nlm.nih.gov/42151625/,"['Gene editing', 'Genomic medicine', 'Religious affiliation', 'Religious beliefs', 'Religious practices', 'Trust']",[],"['Erin D Solomon', 'Eu Gene Chin', 'Kari Baldwin', 'Lauren L Baker', 'James M DuBois']",42151625,Journal of community genetics. 2026 May 19. 17(3). doi: 10.1007/s12687-026-00898-4.,19-05-2026,6791481,,Erin D Solomon,Journal of community genetics. 2026 May 19. 17(3). doi: 10.1007/s12687-026-00898-4.
Serial amyloid PET as a decision tool for switching anti-amyloid therapy in Alzheimer's disease.,,2026,2026,European journal of nuclear medicine and molecular imaging,European journal of nuclear medicine and molecular imaging,10.1007/s00259-026-07912-4,https://pubmed.ncbi.nlm.nih.gov/42151616/,[],[],"['Massimo Filippi', 'Alma Ghirelli', 'Giordano Cecchetti', 'Ana Maria Samanes Gajate', 'Giulia Rugarli', 'Edoardo Gioele Spinelli', 'Stefano Pisano', 'Andrea Panzacchi', 'Gino Pepe', 'Arturo Chiti', 'Federica Agosta']",42151616,European journal of nuclear medicine and molecular imaging. 2026 May 19. doi: 10.1007/s00259-026-07912-4.,19-05-2026,12657122,,Massimo Filippi,European journal of nuclear medicine and molecular imaging. 2026 May 19. doi: 10.1007/s00259-026-07912-4.
