Title,Abstract,Year_Published,Publication Year,Source,Journal/Book,DOI,Download_URL,Keywords,MeSH_Terms,Authors,PMID,Citation,Create Date,PMCID,NIHMS ID,First Author,Reference
A smart community interactive art therapy platform based on multimodal computer graphics and resilient artificial intelligence for home-based elderly care.,"This research presents an innovative smart community interactive art therapy platform that integrates multimodal computer graphics with resilient artificial intelligence adaptation mechanisms to address the growing challenges of home-based elderly care. The platform employs a four-layered hierarchical architecture encompassing perception, network, platform, and application layers to deliver personalized therapeutic interventions. The system utilizes multimodal data fusion algorithms to process visual, auditory, and haptic inputs while implementing adaptive learning mechanisms that continuously optimize user experiences based on individual preferences and capabilities. Experimental validation demonstrates superior performance with response times averaging 387 ms under 100 concurrent users, therapeutic recommendation accuracy of 87.3%, and user satisfaction scores of 4.2/5.0 across multiple evaluation dimensions. The resilient adaptation mechanisms achieved 99.7% service availability and 34% improvement in CPU utilization compared to conventional systems. Long-term usage tracking revealed sustained engagement patterns with minimal dropout rates over 6-month evaluation periods. The platform successfully addresses key limitations of traditional elderly care models by providing comprehensive support that encompasses cognitive stimulation, emotional well-being, and social connection while maintaining cost-effectiveness and scalability for large-scale deployment in smart community environments.",2025,2025,Scientific reports,Scientific reports,10.1038/s41598-025-27129-z,https://pubmed.ncbi.nlm.nih.gov/41339409/,"['Adaptive systems', 'Elderly care', 'Interactive art therapy', 'Multimodal computer graphics', 'Resilient artificial intelligence', 'Smart community']","['Humans', 'Artificial Intelligence', 'Aged', 'Computer Graphics', 'Home Care Services', 'Art Therapy', 'Female', 'Male', 'Algorithms']","['DianDian Sang', 'Ling Miao', 'Qitao Wu']",41339409,Scientific reports. 2025 Dec 03. 15(1):43057. doi: 10.1038/s41598-025-27129-z.,04-12-2025,PMC12675782,,DianDian Sang,Scientific reports. 2025 Dec 03. 15(1):43057. doi: 10.1038/s41598-025-27129-z.
Utterance-Style-Dependent Speaker Verification Using Emotional Embedding with Pretrained Models.,"Biometric authentication using human physiological and behavioral characteristics has been widely adopted, with speaker verification attracting attention due to its convenience and noncontact nature. Conventional speaker verification systems remain vulnerable to spoofing attacks, however, often requiring integration with separate spoofed speech detection models. In this work, the authors propose an emotion-dependent speaker verification system that integrates speaker characteristics with emotional speech characteristics, enhancing robustness against spoofed speech without relying on additional classification models. By comparing acoustic characteristics of emotions between registered and verification speech using pretrained models, the proposed method reduces the equal error rate compared to conventional speaker verification systems, achieving an average equal error rate of 1.13% for speaker verification and 17.7% for the anti-spoofing task. Researchers additionally conducted a user evaluation experiment to assess the usability of emotion-dependent speaker verification. The results indicate that although emotion-dependent authentication was initially cognitively stressful, participants adapted over time, and the burden was significantly reduced after three sessions. Among the tested emotions (anger, joy, sadness, and neutral), sadness proved most effective, with stable scores, a low error rate, and minimal user strain. These findings suggest that neutral speech is not always the optimal choice for speaker verification and that well-designed emotion-dependent authentication can offer a practical and robust security solution.",2025,2025,"Sensors (Basel, Switzerland)","Sensors (Basel, Switzerland)",10.3390/s25175284,https://pubmed.ncbi.nlm.nih.gov/40942714/,"['biometric authentication', 'emotion embeddings', 'emotion-dependent authentication', 'score fusion', 'speaker verification', 'user usability']","['Humans', 'Emotions', 'Speech', 'Male', 'Female', 'Adult', 'Biometric Identification', 'Young Adult']","['Long Pham Hoang', 'Hibiki Takayama', 'Masafumi Nishida', 'Satoru Tsuge', 'Shingo Kuroiwa']",40942714,"Sensors (Basel, Switzerland). 2025 Aug 25. 25(17). doi: 10.3390/s25175284.",13-09-2025,PMC12431519,,Long Pham Hoang,"Sensors (Basel, Switzerland). 2025 Aug 25. 25(17). doi: 10.3390/s25175284."
Deep Femoral Artery Identification Using Contrast-Enhanced Computed Tomography Images for the Verification of Vascular Injury Risks in Hip Surgery.,"Iatrogenic deep femoral artery (DFA) injury is a serious complication of hip surgery, often resulting from screw or wire placement in the femur owing to the limited visibility of the DFA and its branches during femoral penetration. We aimed to identify the course and location of DFA perforating branches using an imaging-based approach to improve surgical planning and prevent vascular injury during hip procedures, which has not been thoroughly evaluated in prior anatomical studies. We consecutively enrolled 20 female and 20 male participants with unilateral hip osteoarthritis. Contrast-enhanced computed tomography images of the unaffected side were used to identify the DFA. Associations between participant demographics and DFA branch location and trajectory were analyzed. The distance from the apex of the greater trochanter (GTR) to the first DFA perforating branch was significantly shorter in females than in males (mean: 100 (range, 77-122) vs. 113 (range, 99-131) mm, P < 0.001), whereas no significant difference was found for the second branch (mean: 154 (range, 108-242) vs. 160 (range, 128-235) mm, P = 0.73]. The DFA ran within 5 mm of the femur on the medial-posterior aspect at 140 mm and 200 mm distal to the apex of the greater trochanter, typical insertion sites for distal cortical screws in intramedullary nailing for hip fractures. In females, the first DFA perforating branch occurs more proximally than in males, necessitating caution during femoral wiring at this level. These findings help refine anatomical understanding of the DFA course, supporting safer surgical planning for intramedullary fixation. The small sample size (n = 40) is one of the limitations and may affect generalizability.",2025,2025,Cureus,Cureus,10.7759/cureus.89803,https://pubmed.ncbi.nlm.nih.gov/40937224/,"['contrast-enhanced computed tomography images', 'deep femoral artery', 'femoral nailing', 'total hip arthroplasty (tha)', 'vascular injury']",[],"['Yuta Hieda', 'Hyonmin Choe', 'Hiroyuki Ike', 'Koki Abe', 'Masashi Shimoda', 'Ken Kumagai', 'Naomi Kobayashi', 'Yutaka Inaba']",40937224,Cureus. 2025 Aug. 17(8):e89803. doi: 10.7759/cureus.89803.,12-09-2025,PMC12422073,,Yuta Hieda,Cureus. 2025 Aug. 17(8):e89803. doi: 10.7759/cureus.89803.
Flexible Self-Powered Low-Decibel Voice Recognition Mask.,"In environments where silent communication is essential, such as libraries and conference rooms, the need for a discreet means of interaction is paramount. Here, we present a single-electrode, contact-separated triboelectric nanogenerator (CS-TENG) characterized by robust high-frequency sensing capabilities and long-term stability. Integrating this TENG onto the inner surface of a mask allows for the capture of conversational speech signals through airflow vibrations, generating a comprehensive dataset. Employing advanced signal processing techniques, including short-time Fourier transform (STFT), Mel-frequency cepstral coefficients (MFCC), and deep learning neural networks, facilitates the accurate identification of speaker content and verification of their identity. The accuracy rates for each category of vocabulary and identity recognition exceed 92% and 90%, respectively. This system represents a pivotal advancement in facilitating secure and efficient unobtrusive communication in quiet settings, with promising implications for smart home applications, virtual assistant technology, and potential deployment in security and confidentiality-sensitive contexts.",2024,2024,"Sensors (Basel, Switzerland)","Sensors (Basel, Switzerland)",10.3390/s24103007,https://pubmed.ncbi.nlm.nih.gov/38793860/,"['human-computer interaction', 'silent communication', 'speech recognition', 'triboelectric nanogenerators', 'vibration sensors']",[],"['Jianing Li', 'Yating Shi', 'Jianfeng Chen', 'Qiaoling Huang', 'Meidan Ye', 'Wenxi Guo']",38793860,"Sensors (Basel, Switzerland). 2024 May 09. 24(10). doi: 10.3390/s24103007.",25-05-2024,PMC11124924,,Jianing Li,"Sensors (Basel, Switzerland). 2024 May 09. 24(10). doi: 10.3390/s24103007."
Audio-Visual Fusion Based on Interactive Attention for Person Verification.,"With the rapid development of multimedia technology, personnel verification systems have become increasingly important in the security field and identity verification. However, unimodal verification systems have performance bottlenecks in complex scenarios, thus triggering the need for multimodal feature fusion methods. The main problem with audio-visual multimodal feature fusion is how to effectively integrate information from different modalities to improve the accuracy and robustness of the system for individual identity. In this paper, we focus on how to improve multimodal person verification systems and how to combine audio and visual features. In this study, we use pretrained models to extract the embeddings from each modality and then perform fusion model experiments based on these embeddings. The baseline approach in this paper involves taking the fusion feature and passing it through a fully connected (FC) layer. Building upon this baseline, we propose three fusion models based on attentional mechanisms: attention, gated, and inter-attention. These fusion models are trained on the VoxCeleb1 development set and tested on the evaluation sets of the VoxCeleb1, NIST SRE19, and CNC-AV datasets. On the VoxCeleb1 dataset, the best system performance achieved in this study was an equal error rate (EER) of 0.23% and a detection cost function (minDCF) of 0.011. On the evaluation set of NIST SRE19, the EER was 2.60% and the minDCF was 0.283. On the evaluation set of the CNC-AV set, the EER was 11.30% and the minDCF was 0.443. These experimental results strongly demonstrate that the proposed fusion method can significantly improve the performance of multimodal character verification systems.",2023,2023,"Sensors (Basel, Switzerland)","Sensors (Basel, Switzerland)",10.3390/s23249845,https://pubmed.ncbi.nlm.nih.gov/38139689/,"['attention', 'audio–visual fusion', 'face verification', 'gated', 'inter–attention', 'speaker verification']","['Humans', 'Information Technology', 'Biometric Identification']","['Xuebin Jing', 'Liang He', 'Zhida Song', 'Shaolei Wang']",38139689,"Sensors (Basel, Switzerland). 2023 Dec 15. 23(24). doi: 10.3390/s23249845.",23-12-2023,PMC10747811,,Xuebin Jing,"Sensors (Basel, Switzerland). 2023 Dec 15. 23(24). doi: 10.3390/s23249845."
The effect of speech pathology on automatic speaker verification: a large-scale study.,"Navigating the challenges of data-driven speech processing, one of the primary hurdles is accessing reliable pathological speech data. While public datasets appear to offer solutions, they come with inherent risks of potential unintended exposure of patient health information via re-identification attacks. Using a comprehensive real-world pathological speech corpus, with over n[Formula: see text]3800 test subjects spanning various age groups and speech disorders, we employed a deep-learning-driven automatic speaker verification (ASV) approach. This resulted in a notable mean equal error rate (EER) of [Formula: see text], outstripping traditional benchmarks. Our comprehensive assessments demonstrate that pathological speech overall faces heightened privacy breach risks compared to healthy speech. Specifically, adults with dysphonia are at heightened re-identification risks, whereas conditions like dysarthria yield results comparable to those of healthy speakers. Crucially, speech intelligibility does not influence the ASV system's performance metrics. In pediatric cases, particularly those with cleft lip and palate, the recording environment plays a decisive role in re-identification. Merging data across pathological types led to a marked EER decrease, suggesting the potential benefits of pathological diversity in ASV, accompanied by a logarithmic boost in ASV effectiveness. In essence, this research sheds light on the dynamics between pathological speech and speaker verification, emphasizing its crucial role in safeguarding patient confidentiality in our increasingly digitized healthcare era.",2023,2023,Scientific reports,Scientific reports,10.1038/s41598-023-47711-7,https://pubmed.ncbi.nlm.nih.gov/37993490/,[],"['Adult', 'Humans', 'Child', 'Cleft Lip', 'Cleft Palate', 'Speech-Language Pathology', 'Speech Intelligibility', 'Speech Production Measurement', 'Speech']","['Soroosh Tayebi Arasteh', 'Tobias Weise', 'Maria Schuster', 'Elmar Noeth', 'Andreas Maier', 'Seung Hee Yang']",37993490,Scientific reports. 2023 Nov 22. 13(1):20476. doi: 10.1038/s41598-023-47711-7.,23-11-2023,PMC10665418,,Soroosh Tayebi Arasteh,Scientific reports. 2023 Nov 22. 13(1):20476. doi: 10.1038/s41598-023-47711-7.
"Association of neurocognitive disorders with morbidity and mortality in older adults undergoing major surgery in the USA: a retrospective, population-based, cohort study.","Neurocognitive disorders become increasingly common as patients age, and increasing numbers of surgical interventions are done on older patients. The aim of this study was to understand the clinical characteristics and outcomes of surgical patients with neurocognitive disorders in the USA in order to guide future targeted interventions for better care.",2023,2023,The lancet. Healthy longevity,The lancet. Healthy longevity,10.1016/S2666-7568(23)00194-0,https://pubmed.ncbi.nlm.nih.gov/37924842/,[],"['Humans', 'Aged', 'United States', 'Retrospective Studies', 'Cohort Studies', 'Medicare', 'Neurocognitive Disorders', 'Morbidity']","['Alexander T Abess', 'Stacie G Deiner', 'Alexandra Briggs', 'Elizabeth L Whitlock', 'Kristin E Charette', 'Vinca W Chow', 'Shahzad Shaefi', 'Pablo Martinez-Camblor', ""Alistair James O'Malley"", 'Myles Dustin Boone']",37924842,The lancet. Healthy longevity. 2023 Nov. 4(11):e608-e617. doi: 10.1016/S2666-7568(23)00194-0.,05-11-2023,PMC10654795,NIHMS1942264,Alexander T Abess,The lancet. Healthy longevity. 2023 Nov. 4(11):e608-e617. doi: 10.1016/S2666-7568(23)00194-0.
A Smart Image Encryption Technology via Applying Personal Information and Speaker-Verification System.,"In this paper, a framework for authorization and personal image protection that applies user accounts, passwords, and personal I-vectors as the keys for ciphering the image content was developed and connected. There were two main systems in this framework. The first involved a speaker verification system, wherein the user entered their account information and password to log into the system and provided a short voice sample for identification, and then the algorithm transferred the user's voice (biometric) features, along with their account and password details, to a second image encryption system. For the image encryption process, the account name and password presented by the user were applied to produce the initial conditions for hyper-chaotic systems to generate private keys for image-shuffling and ciphering. In the final stage, the biometric features were also applied to protect the content of the image, so the encryption technology would be more robust. The final results of the encryption system were acceptable, as a lower correlation was obtained in the cipher images. The voice database we applied was the Pitch Tracking Database from the Graz University of Technology (PTDB-TUG), which provided the microphone and laryngoscope signals of 20 native English speakers. For image processing, four standard testing images from the University of Southern California-Signal and Image Processing Institute (USC-SIPI), including Lena, F-16, Mandrill, and Peppers, were presented to further demonstrate the effectiveness and efficiency of the smart image encryption algorithm.",2023,2023,"Sensors (Basel, Switzerland)","Sensors (Basel, Switzerland)",10.3390/s23135906,https://pubmed.ncbi.nlm.nih.gov/37447756/,"['authorization', 'hyper-chaotic system', 'novel image encryption', 'speaker verification']","['Computer Security', 'Image Processing, Computer-Assisted', 'Algorithms', 'Biometry', 'Databases, Factual']","['Shih-Yu Li', 'Chun-Hung Lee', 'Lap-Mou Tam']",37447756,"Sensors (Basel, Switzerland). 2023 Jun 26. 23(13). doi: 10.3390/s23135906.",14-07-2023,PMC10347242,,Shih-Yu Li,"Sensors (Basel, Switzerland). 2023 Jun 26. 23(13). doi: 10.3390/s23135906."
Manifestation of depression in speech overlaps with characteristics used to represent and recognize speaker identity.,"The sound of a person's voice is commonly used to identify the speaker. The sound of speech is also starting to be used to detect medical conditions, such as depression. It is not known whether the manifestations of depression in speech overlap with those used to identify the speaker. In this paper, we test the hypothesis that the representations of personal identity in speech, known as speaker embeddings, improve the detection of depression and estimation of depressive symptoms severity. We further examine whether changes in depression severity interfere with the recognition of speaker's identity. We extract speaker embeddings from models pre-trained on a large sample of speakers from the general population without information on depression diagnosis. We test these speaker embeddings for severity estimation in independent datasets consisting of clinical interviews (DAIC-WOZ), spontaneous speech (VocalMind), and longitudinal data (VocalMind). We also use the severity estimates to predict presence of depression. Speaker embeddings, combined with established acoustic features (OpenSMILE), predicted severity with root mean square error (RMSE) values of 6.01 and 6.28 in DAIC-WOZ and VocalMind datasets, respectively, lower than acoustic features alone or speaker embeddings alone. When used to detect depression, speaker embeddings showed higher balanced accuracy (BAc) and surpassed previous state-of-the-art performance in depression detection from speech, with BAc values of 66% and 64% in DAIC-WOZ and VocalMind datasets, respectively. Results from a subset of participants with repeated speech samples show that the speaker identification is affected by changes in depression severity. These results suggest that depression overlaps with personal identity in the acoustic space. While speaker embeddings improve depression detection and severity estimation, deterioration or improvement in mood may interfere with speaker verification.",2023,2023,Scientific reports,Scientific reports,10.1038/s41598-023-35184-7,https://pubmed.ncbi.nlm.nih.gov/37429935/,[],"['Humans', 'Speech', 'Depression', 'Voice', 'Acoustics', 'Affect']","['Sri Harsha Dumpala', 'Katerina Dikaios', 'Sebastian Rodriguez', 'Ross Langley', 'Sheri Rempel', 'Rudolf Uher', 'Sageev Oore']",37429935,Scientific reports. 2023 Jul 10. 13(1):11155. doi: 10.1038/s41598-023-35184-7.,11-07-2023,PMC10333314,,Sri Harsha Dumpala,Scientific reports. 2023 Jul 10. 13(1):11155. doi: 10.1038/s41598-023-35184-7.
Face mask effects on speaker verification performance in the presence of noise.,"Due to its spread via physical contact and the regulations on wearing face masks, COVID-19 has resulted in tough challenges for speaker recognition. Masks may aid in preventing COVID-19 transmission, although the implications of the mask on system performance in a clean environment and with varying levels of background noise are unclear. The face mask has an impact on speech output. The task of comprehending speech while wearing a face mask is made more difficult by the mask's frequency response and radiation qualities, which is vary depending on the material and design of the mask. In this study, we recorded speech while wearing a face mask to see how different masks affected a state-of-the-art text-independent speaker verification system using an i-vector speaker identification system. This research investigates the influence of facial coverings on speaker verification. To address this, we investigated the effect of fabric masks on speaker identification in a cafeteria setting. These results present preliminary speaker recognition rates as well as mask verification trials. The result shows that masks had little to no effect in low background noise, with an EER of 2.4-2.5% in 20 dB SNR for both masks compared to no mask at the same level. In noisy conditions, accuracy was 12.7-13.0% lowers than without a mask with a 5 dB SNR, indicating that while different masks perform similarly in low background noise levels, they become more noticeable in high noise levels.",2023,2023,Multimedia tools and applications,Multimedia tools and applications,10.1007/s11042-023-15824-w,https://pubmed.ncbi.nlm.nih.gov/37362700/,"['Background noise', 'Face mask', 'MFCC', 'Speaker verification', 'i-vector']",[],['Khamis A Al-Karawi'],37362700,Multimedia tools and applications. 2023 May 29. 1-14. doi: 10.1007/s11042-023-15824-w.,26-06-2023,PMC10225750,,Khamis A Al-Karawi,Multimedia tools and applications. 2023 May 29. 1-14. doi: 10.1007/s11042-023-15824-w.
