Title,Abstract,Year_Published,Publication Year,Source,Journal/Book,DOI,Download_URL,Keywords,MeSH_Terms,Authors,PMID,Citation,Create Date,PMCID,NIHMS ID,First Author,Reference
"Osteoarthritis and rheumatoid arthritis: A comparative review of pathophysiology, diagnosis and evolving management.","Osteoarthritis (OA) and rheumatoid arthritis (RA) are among the leading causes of chronic joint pain and disability, resulting in significant healthcare and economic burdens. OA is a degenerative disorder characterized by cartilage degradation, whereas RA is an autoimmune condition that leads to synovial inflammation. Despite their differences, both conditions share similar symptoms such as joint pain, stiffness, and functional decline, which can complicate early diagnosis and delay targeted treatment. Degradation of the extracellular matrix, chondrocyte senescence, and responses to biomechanical stress are considered key molecular events in OA. By contrast, RA is driven by abnormal immune activation, autoantibody production, and ongoing synovial inflammation. This review provides a comparative analysis of OA and RA, focusing on pathophysiology, diagnostic modalities, clinical assessment frameworks, and evolving management strategies. Diagnostic strategies that combine patient evaluation, advanced imaging techniques, and emerging molecular biomarkers to improve early detection are also discussed. Critical evaluations are provided of management strategies that encompass pharmacologic treatments, such as using nonsteroidal anti-inflammatory drugs, corticosteroids, disease-modifying antirheumatic drugs, biologics, and Janus kinase (JAK) inhibitors, as well as non-pharmacologic interventions, including physical therapy, lifestyle modifications, and surgical options. In addition, the limited disease-modifying options for OA and safety concerns with long-term immunosuppressive therapy in RA are noted, highlighting the need for biomarker guided personalized therapies.",2026,2026,Journal of Taibah University Medical Sciences,Journal of Taibah University Medical Sciences,10.1016/j.jtumed.2026.04.010,https://pubmed.ncbi.nlm.nih.gov/42206288/,"['Autoimmune condition', 'Degenerative disorder', 'Inflammation', 'Pain', 'Treatment']",[],"['Shriyeta Biswas', 'Juganta K Kalita', 'Bedaparna Nath', 'N Anirudh Singh', 'Md Sarowar Hossain', 'Saikat Sen']",42206288,Journal of Taibah University Medical Sciences. 2026 Jun. 21(3):511-531. doi: 10.1016/j.jtumed.2026.04.010.,28-05-2026,PMC13207567,,Shriyeta Biswas,Journal of Taibah University Medical Sciences. 2026 Jun. 21(3):511-531. doi: 10.1016/j.jtumed.2026.04.010.
Blockchain Technology to Enhance Clinical Data Management in Healthcare: A Systematic Literature Review.,"This systematic review examines how blockchain is applied in clinical data management (CDM) and what prevents its adoption in healthcare. A structured search in Scopus and Web of Science retrieved 554 records; after applying inclusion/exclusion criteria and quality assessment, 32 studies published between 2018 and 2024 were included. The analysis was guided by five research questions: (1) how blockchain supports clinical data workflows; (2) its role in data security and privacy; (3) key technical challenges and commonly used technologies; (4) integration with other healthcare technologies, and (5) how does blockchain technology integrate with and enhance other emerging healthcare technologies? Findings show that blockchain can support consent management, secure data sharing, traceability, and tamper-resistant audit trails using smart contracts and decentralized access control. It is also positioned as a trust layer for electronic health records, the Internet of Medical Things, artificial intelligence, and telemedicine by ensuring integrity and controlled access to sensitive clinical data. However, several barriers limit real-world deployment. Reported challenges include limited scalability and throughput, difficulty integrating with legacy electronic health record systems, heterogeneous regulatory requirements, and the complexity of encoding privacy, consent, and compliance into smart contracts. Ethereum and Hyperledger Fabric are the most frequently implemented platforms, often combined with off-chain storage and interoperability standards such as Fast Healthcare Interoperability Resources (FHIR)/Substitutable Medical Applications and Reusable Technologies on FHIR. Overall, blockchain shows strong potential to improve security, transparency, and cross-institution exchange in CDM, but its viability depends on addressing scalability, interoperability, and governance constraints. However, the evidence base remains heterogeneous, and only a minority of studies report quantitative benchmarks or real-world deployments, which limits cross-study comparability and generalizability.",2026,2026,Blockchain in healthcare today,Blockchain in healthcare today,10.30953/bhty.v9.471,https://pubmed.ncbi.nlm.nih.gov/42205848/,"['HL7 FHIR interoperability', 'audit trail', 'blockchain', 'clinical data management', 'consent management', 'healthcare', 'smart contracts']",[],"['Khaoula Chafik', 'Mohamed Hanine', 'Abdellah Ouaguid', 'Sulieman Alshuhri']",42205848,Blockchain in healthcare today. 2026. 9(1). doi: 10.30953/bhty.v9.471.,28-05-2026,PMC13186143,,Khaoula Chafik,Blockchain in healthcare today. 2026. 9(1). doi: 10.30953/bhty.v9.471.
A federated learning-enabled energy-aware anomaly detection algorithm for secure big data analytics in IoT-based smart healthcare systems.,"The rapid expansion of Internet of Things (IoT) devices in smart healthcare systems has led to the generation of large volumes of diverse medical data. This creates challenges in ensuring secure, scalable, and energy-efficient anomaly detection. Traditional centralized deep learning methods rely on continuously sending sensitive patient data to cloud servers, which increases communication overhead, consumes more energy, and raises privacy concerns. To overcome these limitations, this paper presents a Federated Learning-enabled Energy-Aware Anomaly Detection framework (FL-EAD) designed for IoT-based smart healthcare environments. The proposed approach allows distributed IoT devices to collaboratively train models while keeping patient data stored locally, sharing only model updates instead of raw data. An energy-aware client selection strategy is incorporated to determine device participation in each federated learning round based on factors such as residual energy and communication cost. This helps reduce unnecessary energy consumption. Furthermore, a hybrid deep learning model combining an autoencoder with an attention-based Long Short-Term Memory (LSTM) network is used to effectively capture both spatial and temporal patterns in healthcare data streams. The proposed framework is evaluated using a publicly available healthcare IoT dataset. Experimental results show that FL-EAD improves anomaly detection performance and overall system efficiency compared to traditional centralized methods and standard federated learning approaches. Notable improvements are observed in accuracy, F1-score, energy usage, communication overhead, and detection latency. Overall, the results suggest that the proposed framework offers a practical and privacy-preserving solution for scalable anomaly detection in next-generation IoT-enabled smart healthcare systems.",2026,2026,Scientific reports,Scientific reports,10.1038/s41598-026-53494-4,https://pubmed.ncbi.nlm.nih.gov/42204202/,"['Anomaly detection', 'Edge computing', 'Energy-aware client selection', 'Federated learning', 'IoT-based smart healthcare', 'Privacy-preserving data analytics']",[],['Halah Abdulaziz Al-Alshaikh'],42204202,Scientific reports. 2026 May 27. doi: 10.1038/s41598-026-53494-4.,28-05-2026,,,Halah Abdulaziz Al-Alshaikh,Scientific reports. 2026 May 27. doi: 10.1038/s41598-026-53494-4.
The Role of Pediatric Hospital Systems in Addressing the Climate Crisis.,"Health systems occupy a uniquely influential position in the global effort to address the climate crisis. As both major contributors to greenhouse gas emissions and critical institutions for protecting public health, hospitals and health care organizations have an ethical and operational imperative to lead climate action. In doing so, health systems also realize a range of ancillary benefits that reinforce their core missions: improved cost-effectiveness, measurable return on investment, enhanced staff recruitment and retention, deeper community engagement, and strengthened public trust. This article outlines how health systems can mitigate their environmental footprint while enhancing patient care, operational efficiency, and community resiliency.",2026,2026,Pediatric clinics of North America,Pediatric clinics of North America,10.1016/j.pcl.2026.01.005,https://pubmed.ncbi.nlm.nih.gov/42203365/,"['Climate change', 'Climate health', 'Climate-smart healthcare', 'Planetary health', 'Sustainability', 'Sustainable health education']","['Humans', 'Climate Change', 'Hospitals, Pediatric', 'Child']","['Hilary Ong', 'Elizabeth Cerceo']",42203365,Pediatric clinics of North America. 2026 Jun. 73(3):623-635. doi: 10.1016/j.pcl.2026.01.005.,28-05-2026,,,Hilary Ong,Pediatric clinics of North America. 2026 Jun. 73(3):623-635. doi: 10.1016/j.pcl.2026.01.005.
Voice-assisted artificial intelligence in cardiovascular disease management: a systematic review and meta-analysis protocol.,"Cardiovascular disease (CVD) remains a leading cause of global morbidity and mortality, with self-management playing a pivotal role in improving outcomes. Voice-assisted artificial intelligence (AI) technologies such as virtual assistants and voice-controlled applications have emerged as innovative tools for healthcare delivery. While the technologies show promise in areas like primary prevention and chronic disease management, their effectiveness in supporting self-management for patients with CVD remains underexplored. This study aims to evaluate the impact of voice-assisted AI technologies on CVD self-management, specifically focusing on cardiovascular-related mortality, health-related quality of life (HRQoL) and adherence to lifestyle modifications.",2026,2026,BMJ open,BMJ open,10.1136/bmjopen-2025-102059,https://pubmed.ncbi.nlm.nih.gov/42203300/,"['Artificial Intelligence', 'Cardiovascular Disease', 'Mortality', 'Self-Management', 'Wearable Electronic Devices']","['Humans', 'Cardiovascular Diseases', 'Systematic Reviews as Topic', 'Meta-Analysis as Topic', 'Artificial Intelligence', 'Quality of Life', 'Self-Management', 'Digital Health', 'Research Design']","['Ayuba Issaka', 'Ralph Maddison', 'Greer Lamaro Haintz', 'Sheikh Mohammed Shariful Islam']",42203300,BMJ open. 2026 May 27. 16(5):e102059. doi: 10.1136/bmjopen-2025-102059.,28-05-2026,,,Ayuba Issaka,BMJ open. 2026 May 27. 16(5):e102059. doi: 10.1136/bmjopen-2025-102059.
DES-mediated self-assembled polypeptides: Synergistic neuromuscular signaling inhibition for anti-aging.,"Skin aging involves complex mechanisms such as overactivation of neuromuscular signals and oxidative stress. Herein, we developed a synergistic transdermal delivery system combining self-assembled tripeptide nanoparticles (DAC-SAPs) and a ternary deep eutectic solvent (DES, betaine-glycerol-propylene glycol, BGP) for anti-aging. DAC-SAP integrates dipeptide diaminobutyryl benzamide diacetate (DDB), argireline (ARG), and μ-conotoxin (CTX) into a single nanostructure through hydrophobic interactions, hydrogen bonds, and electrostatically driven molecular self-assembly. This spatial co-localization ensures synchronous delivery and spatiotemporal synergy, effectively inhibiting neuromuscular signaling. BGP DES optimizes polarity regulation, destroys stratum corneum lipids, and significantly promotes transdermal penetration. Molecular dynamics (MD) simulations reveal a dual permeation-promoting mechanism, with an appropriate nanostructure size reducing transmembrane resistance, whereas DES promotes lipid mobility and weakens tight junctions in the stratum corneum (SC). In vitro, in vivo, and exploratory clinical assessments demonstrate that DAC-SAP/BGP significantly inhibits sodium and calcium channel activity, reduces acetylcholine (ACh) secretion, and improves skin elasticity and wrinkle parameters. This multicomponent system achieves a synergistic anti-aging effect by blocking and enhancing the transmission of neuromuscular signals, thus providing a new strategy for anti-aging skin care.",2026,2026,Biomaterials advances,Biomaterials advances,10.1016/j.bioadv.2026.214954,https://pubmed.ncbi.nlm.nih.gov/42202650/,"['Deep eutectic solvents', 'Neuromuscular signaling inhibition', 'Self-assembled polypeptides', 'Transdermal delivery']",[],"['De Bai', 'Zhenyuan Wang', 'Tianqi Liu', 'Mi Wang', 'Jiaheng Zhang']",42202650,Biomaterials advances. 2026 May 20. 187:214954. doi: 10.1016/j.bioadv.2026.214954.,28-05-2026,,,De Bai,Biomaterials advances. 2026 May 20. 187:214954. doi: 10.1016/j.bioadv.2026.214954.
"β-Thalassemia Minor and Pregnancy Outcomes: Pathophysiology, Clinical Implications, and Management.","β-thalassemia minor, often referred to as the β-thalassemia trait, is among the most prevalent hemoglobinopathies globally, impacting around 80-90 million carriers, with a prevalence of up to 15% among Mediterranean, Middle Eastern, and Asian populations. Although traditionally regarded as clinically benign, pregnancy imposes hematologic and metabolic stressors that may unmask latent vulnerabilities. This review combines the latest data and findings about the pathophysiology of β-thalassemia minor during pregnancy, its short-term outcomes on the mother and fetus, and its long-term impact on the child, as well as management techniques. A narrative review of PubMed-indexed studies (2000-2025) was conducted, including cohort and case-control studies, systematic reviews, meta-analyses, and international guidelines. Outcomes were organized by theme, and quantitative findings (prevalence, relative risks, odds ratios) were combined when available. Anemia is a common health issue for mothers. Literature mentions that the pooled incidence is between 30% and 40% during the third trimester, with ~5%of carriers needing a blood transfusion (mainly in iron-deficient or baseline Hb 6-8 g/dL cases). Meta-analyses have shown elevated risks of pre-eclampsia (odds ratio (OR) ~ 1.4, 95% confidence interval (CI) 1.1-1.8) and postpartum hemorrhage (PPH); however, estimates differ by region. The odds of preterm delivery (OR ~ 1.4), small-for-gestational-age (SGA) (OR ~ 1.5), and low birth weight (LBW) are slightly increased for carriers, and neonatal intensive care unit (NICU) admission rates are also higher for carriers. However, the risk of stillbirth is not always increased. The usual approach is iron supplementation guided by ferritin levels to prevent overload, personalized transfusion thresholds, and regular folate support. There is not much evidence for long-term consequences for children of carrier mothers since no research has followed more than 200 children born to carrier mothers into adulthood. However, maternal anemia is linked to slower growth, neurodevelopmental issues, and a higher risk of cardiometabolic problems in larger groups of pregnant women. However, maternal anemia is associated with slower growth, neurodevelopment, and higher cardiometabolic risk in larger groups of pregnant women. β-thalassemia minor during pregnancy usually has a mild, though significant, impact. While most pregnancies proceed without complications, this condition is associated with a significantly higher prevalence of anemia and other adverse postnatal outcomes. Consequently, the implementation of risk-stratified monitoring, smart supplementation, and standardized management protocols is essential. Prospective registries, mechanistic placental research, and long-term offspring cohorts are necessary to better understand long-term trends.",2026,2026,"Medical sciences (Basel, Switzerland)","Medical sciences (Basel, Switzerland)",10.3390/medsci14020225,https://pubmed.ncbi.nlm.nih.gov/42201017/,"['fetal growth restriction', 'iron supplementation', 'maternal anemia', 'postpartum hemorrhage', 'pregnancy outcomes', 'transfusion management', 'β-thalassemia minor']","['Humans', 'Female', 'Pregnancy', 'beta-Thalassemia', 'Pregnancy Outcome', 'Pregnancy Complications, Hematologic']","['Angeliki Gerede', 'Sofoklis Stavros', 'Efthymios Oikonomou', 'Anastasios Potiris', 'Maria Danavasi', 'Vasiliki Kourti', 'Ismini Anagnostaki', 'Ekaterini Domali', 'Nikoletta Koutlaki', 'Makarios Eleftheriadis']",42201017,"Medical sciences (Basel, Switzerland). 2026 Apr 30. 14(2). doi: 10.3390/medsci14020225.",27-05-2026,PMC13214711,,Angeliki Gerede,"Medical sciences (Basel, Switzerland). 2026 Apr 30. 14(2). doi: 10.3390/medsci14020225."
"Poly(3,4-ethylenedioxythiophene) Nanotube-Decorated Screen-Printed Electrodes with a Ferrocene-Derived Built-in Probe Enables Alpha-Fetoprotein Detection.","An easy-to-engineer nanobiosensor electrode platform was developed using commercial screen-printed electrode (SPE) as the sensor substrate, enabling cost-effective detection of alpha-fetoprotein (AFP), a clinically important biomarker of liver cancer. The electrode surface was modified with poly(EDOT-COOH-",2026,2026,Langmuir : the ACS journal of surfaces and colloids,Langmuir : the ACS journal of surfaces and colloids,10.1021/acs.langmuir.6c00717,https://pubmed.ncbi.nlm.nih.gov/42200437/,[],[],"['I-Chen Wang', 'Jayakrishnan Aerathupalathu Janardhanan', 'Jia-Wei She', 'Hsiao-Hua Yu']",42200437,Langmuir : the ACS journal of surfaces and colloids. 2026 May 27. doi: 10.1021/acs.langmuir.6c00717.,27-05-2026,,,I-Chen Wang,Langmuir : the ACS journal of surfaces and colloids. 2026 May 27. doi: 10.1021/acs.langmuir.6c00717.
Smart Hydrogel Architectures for Sensors: Narrative Review.,"In sensing technologies, a hydrogel sensor with a specific response to stimuli allows for real-time monitoring of mechanical, thermal, and biochemical signals in wearable and implantable devices. This review discusses the latest advances in hydrogel-based sensors published between 2023 and spring 2026 and the design strategies prevalent in these articles, including the use of polymers, nanomaterial reinforcement, incorporation of ionic solvents, and physical or chemical crosslinking. The influence of supramolecular hydrogels on the quality of sensor parameters, including the impact on mechanical resistance, ionic conductivity, adaptation, and self-healing, is examined. In biomedical engineering, hydrogels, thanks to their biomimetic and programmable properties, enable control of wound repair and soft tissue interfaces. The review concludes by outlining the challenges, opportunities, and advances in the chemistry and mechanics of hydrogels, which may ultimately facilitate the development of multifunctional monitoring systems in healthcare. The abundance of information requires systematic, frequent reviews to accelerate the application of innovative solutions in practice. Carbon nanostructures are a key component that ensures the sensor's electrical conductivity. 3D printing technology has enabled the creation of individually customizable health monitoring devices. The work also highlights the use of nanodots in sensor production.",2026,2026,"Sensors (Basel, Switzerland)","Sensors (Basel, Switzerland)",10.3390/s26103213,https://pubmed.ncbi.nlm.nih.gov/42198022/,"['3D printed hydrogel', 'carbon nanomaterials', 'conductive hydrogel', 'force sensor', 'hydrogel architecture', 'multifunctional sensor', 'polymer']","['Hydrogels', 'Biosensing Techniques', 'Humans', 'Polymers', 'Wearable Electronic Devices', 'Printing, Three-Dimensional', 'Nanostructures', 'Electric Conductivity', 'Carbon Nanomaterials']","['Jūratė Jolanta Petronienė', 'Tadas Rasimavičius', 'Darius Viržonis', 'Andrius Dzedzickis', 'Vytautas Bučinskas']",42198022,"Sensors (Basel, Switzerland). 2026 May 19. 26(10). doi: 10.3390/s26103213.",27-05-2026,PMC13210494,,Jūratė Jolanta Petronienė,"Sensors (Basel, Switzerland). 2026 May 19. 26(10). doi: 10.3390/s26103213."
"A Review of Embedded Artificial Intelligence Research (2023-2026): Technological Advancements, Representative Advances, and Future Prospects.","Since the publication of the ""Review of Embedded Artificial Intelligence Research"" in 2023, driven by innovations in hardware architectures, advances in lightweight algorithms, and the maturation of edge-cloud collaboration technologies, embedded artificial intelligence (embedded AI) has progressed from ""technically feasible"" to ""large-scale deployment"". As a continuation of that review, this article systematically surveys the core advances in embedded AI from 2023 to 2026. At the hardware level, it examines engineering progress in non-von Neumann architectures such as compute-in-memory and neuromorphic chips, as well as heterogeneous integration technologies. At the algorithmic level, it covers dynamic adaptive lightweighting, specialized edge-side optimization of large models (including on-device large language model fine-tuning and edge diffusion models), and lightweight multimodal approaches. In terms of deployment paradigms, it discusses edge-side full training, federated edge learning, edge-cloud collaborative intelligence, and emerging paradigms. At the application level, it illustrates the ""perception-decision-execution"" pipeline in industrial IoT, wearable healthcare, autonomous driving, embodied intelligence, and smart agriculture. The article also analyzes core challenges including ultra-low-power design for extreme scenarios, cross-platform standardization, edge-side data security and privacy, and model robustness in complex environments. Based on these findings, four research directions are proposed to guide future work.",2026,2026,Micromachines,Micromachines,10.3390/mi17050586,https://pubmed.ncbi.nlm.nih.gov/42195503/,"['cross-platform standardization', 'edge-cloud collaboration', 'embedded artificial intelligence', 'embodied intelligence', 'federated edge learning', 'full on-device training', 'in-memory computing', 'model lightweighting', 'neuromorphic computing']",[],['Zhaoyun Zhang'],42195503,Micromachines. 2026 May 09. 17(5). doi: 10.3390/mi17050586.,27-05-2026,PMC13210275,,Zhaoyun Zhang,Micromachines. 2026 May 09. 17(5). doi: 10.3390/mi17050586.
